district,state,latitude,longitude,rainfall,river_level,soil_moisture,slope,elevation,flood_history,landslide_history,flood_risk,landslide_risk
Karnaprayag,Uttarakhand,30.2643,79.2257,145.5,5.48,0.649,33.7,848.7,1,1,Medium,Medium
Gopeshwar,Uttarakhand,30.4107,79.3177,217.2,5.95,0.693,31.2,1388.2,1,1,High,High
Lansdowne,Uttarakhand,29.8409,78.685,262.6,4.18,0.741,25.6,1791.3,0,1,Medium,High
Shimla,Himachal Pradesh,31.1048,77.1734,225.0,3.84,0.554,31.0,2201.3,0,0,Low,Medium
Kullu,Himachal Pradesh,31.9592,77.1089,131.4,6.78,0.597,39.5,1344.5,0,1,Medium,High
Manali,Himachal Pradesh,32.2432,77.1892,138.5,4.51,0.591,41.1,2154.4,0,1,Low,High
Mandi,Himachal Pradesh,31.7089,76.932,219.0,7.22,0.675,29.8,896.7,1,0,High,Medium
Dharamsala,Himachal Pradesh,32.219,76.3234,299.6,5.53,0.7,31.2,1458.0,0,0,Medium,Medium
Kangra,Himachal Pradesh,32.0998,76.2691,217.6,5.28,0.684,15.5,666.6,1,1,High,Medium
Chamba,Himachal Pradesh,32.5534,76.1258,153.4,6.47,0.592,26.9,962.7,0,1,Medium,Medium
Kinnaur,Himachal Pradesh,31.5925,78.273,83.6,4.59,0.488,36.9,2517.8,0,1,Low,High
Solan,Himachal Pradesh,30.9045,77.0967,171.7,3.88,0.534,18.3,1436.3,0,0,Low,Low
Bilaspur,Himachal Pradesh,31.3393,76.7575,152.5,4.75,0.619,20.6,726.0,1,0,Medium,Medium
Hamirpur,Himachal Pradesh,31.6862,76.5215,188.9,4.26,0.545,14.3,755.8,1,1,High,Medium
Una,Himachal Pradesh,31.4685,76.2688,177.9,4.2,0.588,9.7,382.1,1,0,High,Low
Palampur,Himachal Pradesh,32.1098,76.5341,184.5,5.12,0.713,21.5,1322.8,0,1,Medium,Medium
Nahan,Himachal Pradesh,30.5593,77.295,162.4,4.76,0.719,24.9,946.6,0,1,Medium,Medium
Keylong,Himachal Pradesh,32.5745,77.0355,73.2,4.88,0.431,27.9,3088.3,1,1,Medium,Medium
Kaza,Himachal Pradesh,32.2269,78.0686,22.8,1.64,0.227,20.3,3772.2,0,1,Low,Medium
Reckong Peo,Himachal Pradesh,31.5328,78.273,131.4,4.47,0.481,29.9,2313.1,0,0,Low,Medium
Dalhousie,Himachal Pradesh,32.5383,75.9745,217.2,5.33,0.641,35.0,2140.2,0,0,Medium,Medium
Srinagar,Jammu & Kashmir,34.0837,74.7973,134.2,5.52,0.615,9.2,1633.7,1,1,Medium,Medium
Jammu,Jammu & Kashmir,32.7266,74.857,196.0,5.72,0.606,13.4,343.5,1,0,High,Low
Anantnag,Jammu & Kashmir,33.7311,75.1487,145.3,4.27,0.579,15.7,1865.9,1,0,Medium,Low
Baramulla,Jammu & Kashmir,34.1985,74.3431,100.0,6.28,0.604,19.4,1560.9,0,1,Medium,Medium
Pulwama,Jammu & Kashmir,33.8748,74.8985,90.3,3.25,0.647,15.2,1664.5,0,0,Low,Low
Shopian,Jammu & Kashmir,33.7152,74.833,139.4,4.68,0.535,24.7,1613.3,0,1,Low,Medium
Kupwara,Jammu & Kashmir,34.5218,74.2606,108.9,4.35,0.63,30.4,1691.7,0,1,Low,Medium
Pahalgam,Jammu & Kashmir,34.016,75.3158,117.9,6.89,0.502,35.6,2135.2,0,1,Low,High
Udhampur,Jammu & Kashmir,32.9084,75.1413,161.8,4.89,0.619,20.9,795.3,0,0,Medium,Low
Kathua,Jammu & Kashmir,32.3803,75.5152,142.2,4.56,0.593,14.2,426.7,1,0,Medium,Low
Rajouri,Jammu & Kashmir,33.3812,74.3094,171.0,5.05,0.483,30.8,958.7,0,0,Low,Medium
Poonch,Jammu & Kashmir,33.7748,74.0932,189.6,5.6,0.469,20.4,1045.2,0,0,Medium,Low
Kishtwar,Jammu & Kashmir,33.3128,75.7717,140.5,6.91,0.648,39.7,1720.3,1,1,Medium,High
Doda,Jammu & Kashmir,33.1483,75.5472,176.5,6.83,0.65,28.7,1134.1,1,0,Medium,Medium
Ramban,Jammu & Kashmir,33.2408,75.2315,173.7,5.85,0.572,29.6,900.6,0,1,Medium,Medium
Leh,Ladakh,34.1526,77.5771,14.6,2.12,0.138,10.2,3500.7,1,0,Medium,Low
Kargil,Ladakh,34.5551,76.1349,13.2,1.27,0.061,12.9,2714.9,0,0,Low,Low
Drass,Ladakh,34.4314,75.7556,25.3,2.57,0.128,26.7,3343.5,0,1,Low,Medium
Diskit,Ladakh,34.713,77.5863,7.6,1.46,0.118,16.9,3132.9,0,0,Low,Low
Nubra,Ladakh,34.663,77.559,6.8,1.35,0.112,18.6,3100.1,0,1,Low,Medium
Padum,Ladakh,33.4686,77.2739,13.4,1.24,0.115,20.9,3537.4,0,0,Low,Low
Gangtok,Sikkim,27.3314,88.6138,363.6,6.76,0.711,28.6,1676.7,0,1,Medium,High
Namchi,Sikkim,27.1663,88.364,298.1,4.85,0.746,31.0,1469.7,1,1,High,High
Gyalshing,Sikkim,27.2833,88.2583,291.4,4.6,0.699,33.4,1843.9,1,1,High,High
Mangan,Sikkim,27.5096,88.5316,301.9,4.63,0.779,29.7,1445.8,0,1,Medium,High
Rangpo,Sikkim,27.1765,88.5364,250.4,6.61,0.786,28.4,360.2,1,1,High,Medium
Itanagar,Arunachal Pradesh,27.0844,93.6053,359.9,6.07,0.898,28.5,343.7,1,1,High,High
Tawang,Arunachal Pradesh,27.5859,91.8594,198.7,3.86,0.615,40.6,2691.2,0,1,Low,High
Bomdila,Arunachal Pradesh,27.2653,92.4181,323.9,6.45,0.696,27.2,2313.6,0,1,Medium,High
Pasighat,Arunachal Pradesh,28.0665,95.3314,415.4,6.56,0.805,17.5,172.9,1,1,High,High
Ziro,Arunachal Pradesh,27.5451,93.8198,325.6,4.46,0.787,21.9,1586.2,1,1,High,High
Aalo,Arunachal Pradesh,28.1668,94.8027,315.6,7.04,0.857,26.3,327.2,1,1,High,High
Tezu,Arunachal Pradesh,27.9167,96.1667,283.6,5.2,0.833,16.0,267.3,1,0,High,Medium
Roing,Arunachal Pradesh,28.1394,95.8441,279.7,7.44,0.82,19.3,335.9,0,1,Medium,High
Seppa,Arunachal Pradesh,26.9058,92.9847,319.0,6.39,0.774,30.5,410.3,1,0,High,Medium
Guwahati,Assam,26.1445,91.7362,368.8,7.87,0.741,14.4,68.8,1,1,High,High
Dibrugarh,Assam,27.4728,94.912,354.7,8.79,0.884,4.1,112.5,1,0,High,Medium
Jorhat,Assam,26.7509,94.2037,369.1,8.63,0.782,6.9,88.9,1,1,High,Medium
Silchar,Assam,24.8333,92.7789,322.5,6.69,0.873,8.0,52.4,1,0,High,Low
Tezpur,Assam,26.6338,92.7926,293.6,8.73,0.825,5.8,81.2,0,1,Medium,High
Dhemaji,Assam,27.479,94.5617,375.6,7.04,0.928,4.7,109.8,1,0,High,Medium
Lakhimpur,Assam,27.2362,94.1029,360.7,8.21,0.832,6.4,117.4,0,0,High,Medium
Majuli,Assam,26.95,94.1667,349.9,7.11,0.857,2.4,85.1,1,0,High,Medium
Goalpara,Assam,26.1671,90.6222,301.6,7.04,0.853,4.7,47.9,1,1,High,Medium
Dhubri,Assam,26.0236,89.9834,310.3,8.83,0.822,2.3,49.0,1,0,High,Low
Tinsukia,Assam,27.4892,95.3631,291.9,8.99,0.825,7.2,112.7,1,1,High,Medium
Sivasagar,Assam,26.987,94.6373,294.8,6.11,0.805,5.4,92.3,1,0,High,Medium
Nagaon,Assam,26.3471,92.6862,315.1,7.68,0.748,1.9,85.9,0,0,Medium,Low
Barpeta,Assam,26.3222,91.0056,309.0,6.08,0.748,3.9,59.8,1,0,High,Low
Bongaigaon,Assam,26.481,90.5582,257.4,6.31,0.844,3.1,67.8,1,1,High,Medium
Karimganj,Assam,24.8665,92.3602,409.8,8.49,0.808,9.0,27.2,1,0,High,Medium
Shillong,Meghalaya,25.5788,91.8933,375.9,6.68,0.889,22.8,1523.7,1,1,High,High
Cherrapunji,Meghalaya,25.2844,91.7033,963.8,6.66,0.928,26.1,1393.8,0,1,Medium,High
Mawsynram,Meghalaya,25.2976,91.5835,1163.1,7.4,0.938,20.3,1406.9,0,1,Medium,High
Tura,Meghalaya,25.5151,90.2132,453.6,7.95,0.849,22.4,340.0,1,0,High,Medium
Jowai,Meghalaya,25.4518,92.2043,351.1,5.66,0.861,29.6,1336.8,1,1,High,High
Nongpoh,Meghalaya,25.9055,92.0002,389.8,4.53,0.885,20.4,866.0,0,1,Medium,High
Aizawl,Mizoram,23.7307,92.7173,291.6,4.81,0.744,30.1,1128.9,1,1,High,High
Lunglei,Mizoram,22.8894,92.734,346.6,4.99,0.869,36.8,1065.8,1,1,High,High
Champhai,Mizoram,23.4724,93.3262,314.5,4.79,0.74,35.0,1463.9,1,1,High,High
Kolasib,Mizoram,24.2249,92.6791,326.5,3.74,0.847,33.2,709.5,1,1,High,High
Kohima,Nagaland,25.6751,94.1086,350.1,3.41,0.851,28.2,1462.2,0,0,Medium,Medium
Dimapur,Nagaland,25.9066,93.7264,319.1,7.08,0.833,7.5,259.4,1,0,High,Medium
Mokokchung,Nagaland,26.326,94.5147,251.7,4.7,0.825,20.5,1363.7,1,0,High,Medium
Mon,Nagaland,26.7266,95.0212,321.3,3.96,0.799,18.5,951.6,1,1,High,High
Wokha,Nagaland,26.1011,94.2618,270.8,5.17,0.672,24.4,1344.7,0,1,Medium,High
Imphal,Manipur,24.817,93.9368,267.7,4.7,0.654,16.3,781.7,0,0,Medium,Medium
Churachandpur,Manipur,24.3333,93.6833,262.8,4.88,0.807,33.8,992.2,1,1,High,High
Ukhrul,Manipur,25.0969,94.3575,222.2,4.06,0.702,26.1,1780.4,1,1,Medium,High
Senapati,Manipur,25.2677,94.015,252.3,5.04,0.689,31.3,1550.1,1,1,High,High
Thoubal,Manipur,24.6416,93.9951,218.4,6.97,0.692,11.5,832.0,1,0,High,Low
Agartala,Tripura,23.8315,91.2868,266.5,5.56,0.84,8.5,13.6,0,0,Medium,Low
Dharmanagar,Tripura,24.378,92.168,331.0,6.09,0.708,17.8,39.0,1,0,High,Medium
Udaipur,Tripura,23.5369,91.4882,251.0,6.63,0.728,6.3,41.7,0,0,Medium,Medium
Kailashahar,Tripura,24.332,92.009,306.1,4.26,0.754,8.7,34.1,0,0,Medium,Medium
Kolkata,West Bengal,22.5726,88.3639,285.1,7.49,0.787,1.8,17.4,1,0,High,Low
Howrah,West Bengal,22.5958,88.2636,287.9,8.39,0.819,2.6,20.1,1,0,High,Medium
Siliguri,West Bengal,26.7271,88.3953,366.6,8.26,0.749,13.8,163.6,1,0,High,Medium
Darjeeling,West Bengal,27.036,88.2627,391.5,3.48,0.867,39.6,2111.0,1,1,High,High
Kalimpong,West Bengal,27.066,88.4688,348.5,3.78,0.814,33.6,1329.2,1,1,High,High
Jalpaiguri,West Bengal,26.5433,88.7275,327.9,7.9,0.898,2.6,112.5,1,1,High,Medium
Alipurduar,West Bengal,26.492,89.528,300.1,7.75,0.809,5.7,66.6,1,0,High,Low
Malda,West Bengal,25.0108,88.1434,202.5,6.07,0.738,2.0,44.3,1,0,High,Low
Murshidabad,West Bengal,24.1834,88.249,194.7,8.38,0.785,0.7,22.1,1,0,High,Low
Durgapur,West Bengal,23.5204,87.3119,245.5,6.26,0.695,4.4,61.0,0,0,Medium,Low
Asansol,West Bengal,23.6843,86.9944,187.0,5.09,0.697,5.6,143.2,1,0,High,Low
Digha,West Bengal,21.6281,87.5052,257.7,7.54,0.832,2.3,10.9,1,1,High,Medium
Cooch Behar,West Bengal,26.3274,89.4451,391.5,7.44,0.76,1.5,69.0,1,0,High,Medium
Patna,Bihar,25.5941,85.1376,206.6,7.54,0.794,0.9,59.1,1,0,High,Low
Muzaffarpur,Bihar,26.1209,85.3647,218.0,7.58,0.805,2.6,67.6,1,0,High,Low
Darbhanga,Bihar,26.1542,85.8918,253.9,7.28,0.79,1.2,59.0,1,1,High,Medium
Sitamarhi,Bihar,26.5917,85.4799,182.5,7.7,0.706,0.2,65.9,1,0,High,Low
Madhubani,Bihar,26.353,86.0726,192.0,7.33,0.739,1.3,64.1,1,0,High,Low
Supaul,Bihar,26.1227,86.5989,235.3,8.74,0.849,1.6,53.8,1,0,High,Low
Saharsa,Bihar,25.881,86.5966,235.4,7.9,0.796,1.1,54.6,1,0,High,Low
Purnia,Bihar,25.7771,87.4753,259.1,7.44,0.876,1.0,40.0,1,0,High,Low
Katihar,Bihar,25.54,87.57,246.1,7.46,0.879,2.9,46.3,1,0,High,Low
Bhagalpur,Bihar,25.2425,86.9842,243.8,8.18,0.784,1.3,48.6,1,0,High,Medium
Begusarai,Bihar,25.4182,86.1272,223.0,7.46,0.807,2.7,48.4,1,0,High,Low
Samastipur,Bihar,25.8625,85.7812,223.6,7.26,0.799,1.8,47.6,1,0,High,Low
Gopalganj,Bihar,26.4678,84.4343,204.4,6.74,0.807,0.9,72.3,1,0,High,Low
Motihari,Bihar,26.6503,84.9175,247.6,6.77,0.768,0.7,87.5,1,0,High,Low
Lucknow,Uttar Pradesh,26.8467,80.9462,155.1,5.51,0.604,0.7,126.6,1,0,High,Low
Varanasi,Uttar Pradesh,25.3176,82.9739,158.4,6.5,0.557,2.2,88.3,1,0,High,Low
Prayagraj,Uttar Pradesh,25.4358,81.8463,192.1,6.62,0.572,0.8,91.4,1,0,High,Low
Agra,Uttar Pradesh,27.1767,78.0081,105.8,4.52,0.358,0.3,184.7,0,1,Low,Medium
Kanpur,Uttar Pradesh,26.4499,80.3319,182.1,6.36,0.603,1.0,136.7,1,1,High,Medium
Gorakhpur,Uttar Pradesh,26.7606,83.3732,192.2,8.35,0.825,0.2,88.5,1,0,High,Low
Ayodhya,Uttar Pradesh,26.7922,82.1998,227.0,8.83,0.723,1.0,107.4,0,0,Medium,Low
Ballia,Uttar Pradesh,25.7531,84.1467,182.3,8.32,0.721,1.3,57.1,1,0,High,Low
Bahraich,Uttar Pradesh,27.5741,81.596,241.5,7.7,0.753,2.6,125.1,1,0,High,Low
Gonda,Uttar Pradesh,27.1346,81.96,228.8,7.31,0.747,0.2,120.0,1,0,High,Low
Kushinagar,Uttar Pradesh,26.7393,83.8897,234.1,7.17,0.731,0.5,81.5,1,0,High,Low
Mathura,Uttar Pradesh,27.4924,77.6737,121.0,4.39,0.426,1.7,180.4,0,1,Low,Low
Bareilly,Uttar Pradesh,28.367,79.4304,157.9,5.74,0.607,1.8,192.9,0,0,Medium,Low
Meerut,Uttar Pradesh,28.9845,77.7064,127.0,6.78,0.462,2.8,230.5,1,0,Medium,Low
Noida,Uttar Pradesh,28.5355,77.391,118.4,6.41,0.528,0.6,210.3,0,0,Low,Low
Basti,Uttar Pradesh,26.8004,82.7181,179.5,8.04,0.653,1.1,107.7,1,0,High,Low
Ranchi,Jharkhand,23.3441,85.3096,229.5,4.13,0.664,14.5,668.1,0,0,Medium,Low
Jamshedpur,Jharkhand,22.8046,86.2029,245.0,6.23,0.731,14.0,149.1,1,0,High,Low
Dhanbad,Jharkhand,23.7957,86.4304,211.0,6.0,0.567,11.2,247.1,1,1,High,Medium
Deoghar,Jharkhand,24.48,86.6946,182.3,4.29,0.524,11.4,276.4,1,0,High,Low
Hazaribagh,Jharkhand,23.9925,85.3614,217.2,6.96,0.565,16.3,632.3,1,0,High,Medium
Bokaro,Jharkhand,23.6693,86.1511,198.3,4.24,0.565,13.9,220.6,1,0,Medium,Low
Bhubaneswar,Odisha,20.2961,85.8245,267.1,5.2,0.764,1.2,54.4,0,0,Medium,Low
Cuttack,Odisha,20.4625,85.883,256.6,8.01,0.829,2.6,34.8,1,0,High,Low
Puri,Odisha,19.8135,85.8312,334.9,5.53,0.774,0.6,13.0,1,0,High,Medium
Paradip,Odisha,20.3165,86.6096,309.8,7.59,0.867,0.5,8.4,1,0,High,Medium
Balasore,Odisha,21.4942,86.9336,331.0,7.56,0.792,0.3,35.1,1,0,High,Medium
Bhadrak,Odisha,21.0575,86.5153,229.2,6.91,0.727,1.1,19.8,0,0,Medium,Low
Gopalpur,Odisha,19.2588,84.8979,249.2,5.8,0.693,3.7,15.0,0,0,Medium,Low
Berhampur,Odisha,19.3149,84.7941,241.9,6.63,0.756,6.8,53.7,1,1,High,Medium
Visakhapatnam,Andhra Pradesh,17.6868,83.2185,249.5,5.04,0.726,7.1,48.4,1,0,High,Low
Vijayawada,Andhra Pradesh,16.5062,80.648,188.5,8.29,0.611,2.5,36.4,1,0,High,Low
Kakinada,Andhra Pradesh,16.9891,82.2475,223.2,5.94,0.711,1.8,7.7,1,0,High,Low
Rajahmundry,Andhra Pradesh,17.0005,81.804,189.4,6.18,0.741,1.8,19.6,0,1,Medium,Medium
Machilipatnam,Andhra Pradesh,16.1875,81.1389,180.9,5.91,0.618,2.1,4.9,1,0,High,Low
Nellore,Andhra Pradesh,14.4426,79.9865,164.5,5.87,0.615,2.1,18.3,0,0,Medium,Low
Tirupati,Andhra Pradesh,13.6288,79.4192,163.1,5.48,0.627,15.0,155.7,1,0,Medium,Low
Srikakulam,Andhra Pradesh,18.2949,83.8938,243.5,5.65,0.602,3.4,49.3,0,0,Medium,Low
Kurnool,Andhra Pradesh,15.8281,78.0373,148.4,4.36,0.589,2.6,294.4,1,0,Medium,Low
Guntur,Andhra Pradesh,16.3067,80.4365,160.1,6.18,0.633,3.1,51.8,0,0,Medium,Low
Hyderabad,Telangana,17.385,78.4867,128.4,3.76,0.548,0.2,536.6,0,0,Medium,Low
Warangal,Telangana,17.9784,79.5941,154.6,5.84,0.433,2.6,276.0,0,0,Medium,Low
Khammam,Telangana,17.2473,80.1514,136.8,6.15,0.494,2.4,125.6,0,0,Low,Low
Nizamabad,Telangana,18.6725,78.0941,129.5,5.32,0.532,0.9,387.0,1,0,Medium,Low
Karimnagar,Telangana,18.4386,79.1288,111.5,3.25,0.594,3.8,315.8,0,0,Low,Low
Bengaluru,Karnataka,12.9716,77.5946,131.9,4.32,0.479,2.7,891.9,0,0,Medium,Low
Mysuru,Karnataka,12.2958,76.6394,148.6,5.44,0.531,2.8,780.3,0,0,Low,Low
Mangaluru,Karnataka,12.9141,74.856,407.9,5.84,0.931,8.1,25.5,1,0,High,Medium
Udupi,Karnataka,13.3409,74.7421,483.2,6.58,0.915,20.9,38.9,0,1,High,High
Karwar,Karnataka,14.8139,74.1339,439.8,5.97,0.78,15.6,59.4,0,1,Medium,High
Madikeri,Karnataka,12.4244,75.7382,403.4,5.45,0.814,29.1,1129.3,0,1,Medium,High
Chikkamagaluru,Karnataka,13.3161,75.772,294.6,4.7,0.844,30.2,976.4,0,1,Medium,High
Shivamogga,Karnataka,13.9299,75.5681,254.5,6.18,0.859,11.4,602.1,0,1,Medium,Medium
Belagavi,Karnataka,15.8497,74.4977,179.3,3.56,0.551,8.3,788.8,1,0,Medium,Low
Hubballi,Karnataka,15.3647,75.124,120.4,2.92,0.555,5.0,675.8,0,0,Low,Low
Davanagere,Karnataka,14.4644,75.9218,149.4,4.24,0.559,0.0,599.1,0,0,Medium,Low
Hassan,Karnataka,13.0069,76.0993,183.3,4.93,0.513,10.8,970.5,0,0,Medium,Low
Thiruvananthapuram,Kerala,8.5241,76.9366,245.1,6.48,0.74,2.6,13.9,1,0,High,Low
Kollam,Kerala,8.8932,76.6141,287.2,5.32,0.707,4.6,23.0,1,1,High,Medium
Alappuzha,Kerala,9.4981,76.3388,439.7,8.8,0.889,1.3,6.7,1,0,High,Medium
Kochi,Kerala,9.9312,76.2673,337.6,6.72,0.85,0.9,10.5,1,1,High,Medium
Thrissur,Kerala,10.5276,76.2144,301.8,6.82,0.747,5.4,26.4,0,1,Medium,Medium
Kozhikode,Kerala,11.2588,75.7804,386.9,4.4,0.764,12.3,27.4,1,0,High,Medium
Kannur,Kerala,11.8745,75.3704,409.8,4.41,0.878,11.6,38.6,1,1,High,High
Wayanad,Kerala,11.6854,76.132,369.4,6.72,0.84,21.8,851.9,1,1,High,High
Idukki,Kerala,9.8616,77.1021,306.7,3.19,0.934,24.2,886.5,0,1,Medium,High
Munnar,Kerala,10.0893,77.0595,443.2,5.81,0.809,31.3,1589.0,0,0,Medium,Medium
Pathanamthitta,Kerala,9.2648,76.787,313.7,5.7,0.829,21.6,74.6,1,1,High,High
Kottayam,Kerala,9.5916,76.5222,310.2,6.55,0.831,7.7,7.0,0,0,Medium,Low
Chennai,Tamil Nadu,13.0827,80.2707,183.5,3.25,0.542,1.5,8.7,0,0,Medium,Low
Coimbatore,Tamil Nadu,11.0168,76.9558,104.7,3.95,0.429,2.4,450.8,0,0,Low,Low
Madurai,Tamil Nadu,9.9252,78.1198,84.9,2.99,0.431,2.6,108.0,0,0,Low,Low
Cuddalore,Tamil Nadu,11.748,79.7714,200.6,6.95,0.674,0.1,6.0,1,0,High,Medium
Nagapattinam,Tamil Nadu,10.7672,79.8449,186.1,5.97,0.728,1.1,12.3,0,0,Medium,Low
Thoothukudi,Tamil Nadu,8.7642,78.1348,127.6,3.16,0.407,2.4,21.1,0,0,Low,Low
Rameswaram,Tamil Nadu,9.2881,79.3129,117.6,2.63,0.451,1.8,8.6,0,0,Low,Low
Kanyakumari,Tamil Nadu,8.0883,77.5385,249.4,4.96,0.577,5.5,20.8,1,0,High,Low
Salem,Tamil Nadu,11.6643,78.146,148.0,3.25,0.517,6.0,318.1,1,0,Medium,Low
Vellore,Tamil Nadu,12.9165,79.1325,110.9,3.68,0.485,6.3,244.5,1,0,Medium,Low
Tirunelveli,Tamil Nadu,8.7139,77.7567,137.3,3.62,0.422,3.9,58.8,0,0,Low,Low
Ooty,Tamil Nadu,11.4102,76.695,271.1,3.01,0.651,32.0,2323.9,1,1,Medium,High
Panaji,Goa,15.4909,73.8278,356.6,6.25,0.837,7.0,22.3,0,0,Medium,Medium
Margao,Goa,15.2832,73.9862,301.5,6.03,0.779,7.5,10.1,1,0,High,Low
Mumbai,Maharashtra,19.076,72.8777,321.9,5.93,0.845,2.6,16.1,1,1,High,Medium
Thane,Maharashtra,19.2183,72.9781,420.7,6.61,0.858,8.3,29.3,1,0,High,Medium
Pune,Maharashtra,18.5204,73.8567,148.9,4.34,0.572,10.8,590.5,1,0,Medium,Low
Nagpur,Maharashtra,21.1458,79.0882,133.4,5.22,0.634,1.4,345.0,1,0,High,Low
Nashik,Maharashtra,19.9975,73.7898,151.6,6.89,0.645,8.0,627.2,1,0,High,Low
Kolhapur,Maharashtra,16.705,74.2433,239.5,5.29,0.644,3.1,590.2,1,0,High,Low
Ratnagiri,Maharashtra,16.9944,73.3003,448.6,4.14,0.933,21.9,44.1,1,0,High,Medium
Sindhudurg,Maharashtra,16.3479,73.5692,306.6,5.75,0.949,22.0,33.5,1,0,High,Medium
Chiplun,Maharashtra,17.5333,73.5167,318.8,7.73,0.894,23.6,72.7,1,1,High,High
Satara,Maharashtra,17.6805,74.0183,213.5,6.32,0.658,16.6,724.3,0,0,Medium,Medium
Sangli,Maharashtra,16.8524,74.5815,126.6,5.54,0.441,1.9,576.7,0,0,Medium,Low
Aurangabad,Maharashtra,19.8762,75.3433,132.9,3.9,0.364,1.3,581.7,0,1,Low,Medium
Amravati,Maharashtra,20.932,77.7523,187.9,3.99,0.496,1.0,370.5,1,0,Medium,Low
Navi Mumbai,Maharashtra,19.033,73.0297,281.1,4.66,0.727,0.9,15.2,0,0,Medium,Low
Lonavala,Maharashtra,18.7481,73.4072,447.7,4.19,0.736,28.6,631.4,1,1,High,High
Ahmedabad,Gujarat,23.0225,72.5714,112.1,4.98,0.276,0.8,59.9,0,0,Low,Low
Surat,Gujarat,21.1702,72.8311,178.6,4.93,0.645,2.9,26.4,1,0,High,Low
Vadodara,Gujarat,22.3072,73.1812,138.1,3.34,0.427,1.4,44.2,1,0,Medium,Low
Rajkot,Gujarat,22.3039,70.8022,64.0,2.06,0.388,2.0,143.8,0,0,Low,Low
Bhuj,Gujarat,23.2419,69.6669,69.3,2.17,0.122,4.5,82.7,0,0,Low,Low
Jamnagar,Gujarat,22.4707,70.0577,64.8,2.46,0.265,0.1,24.3,0,0,Low,Low
Porbandar,Gujarat,21.6417,69.6293,82.3,3.08,0.223,2.0,10.6,0,0,Low,Low
Veraval,Gujarat,20.9143,70.3623,91.1,3.72,0.363,1.3,12.1,0,0,Medium,Low
Bhavnagar,Gujarat,21.7645,72.1519,101.3,2.75,0.233,1.3,14.3,0,0,Low,Low
Bharuch,Gujarat,21.7051,72.9959,115.5,4.22,0.482,0.9,29.6,0,0,Medium,Low
Valsad,Gujarat,20.5992,72.9342,164.1,5.46,0.555,5.0,29.2,1,1,High,Medium
Gandhinagar,Gujarat,23.2156,72.6369,79.6,2.07,0.401,0.9,88.7,0,0,Low,Low
Jaipur,Rajasthan,26.9124,75.7873,94.4,2.81,0.315,3.9,431.5,0,0,Low,Low
Jodhpur,Rajasthan,26.2389,73.0243,41.7,0.31,0.133,1.6,260.5,0,0,Low,Low
Bikaner,Rajasthan,28.0229,73.3119,21.8,0.06,0.084,0.5,273.8,0,0,Low,Low
Jaisalmer,Rajasthan,26.9157,70.9083,17.8,0.63,0.064,0.8,259.8,0,0,Low,Low
